award_id_piid,contract_award_unique_key,recipient_name,description,total_obligation,first_action_date,psc_description,state,usaspending_url,sam_piid_url,sam_solicitation_url,doc_url,doc_local_path
140P5225P0046,CONT_AWD_140P5225P0046_1443_-NONE-_-NONE-,JOHNSON CONTROLS FIRE PROTECTION LP,FY25 NATC REPAIR FIRE ALARMS AT NATC,73449.81,2025-06-26,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",MS,https://www.usaspending.gov/award/CONT_AWD_140P5225P0046_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5225P0046&index=co,,,
140P5326P0001,CONT_AWD_140P5326P0001_1443_-NONE-_-NONE-,"INDUSTRIAL BOILER & MECHANICAL COMPANY, INC.",CUGA EMERGENCY BOILER REPAIR,16867.00,2025-12-16,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",KY,https://www.usaspending.gov/award/CONT_AWD_140P5326P0001_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5326P0001&index=co,,,
140P5326P0002,CONT_AWD_140P5326P0002_1443_-NONE-_-NONE-,"W. M. DUNN CONSTRUCTION, LLC",DEMO BODIE ISLAND HOUSING UNITS 117/118,58500.00,2025-12-01,SALVAGE- DEMOLITION OF BUILDINGS,NC,https://www.usaspending.gov/award/CONT_AWD_140P5326P0002_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5326P0002&index=co,,,
140P5425C0009,CONT_AWD_140P5425C0009_1443_-NONE-_-NONE-,AJCE CORPORATION,"CONSTRUCTION, EMERGENCY HVAC REPLACEMENT AT POINCIANA HOUSING, DRTO",49990.00,2025-07-23,"INSTALLATION OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",FL,https://www.usaspending.gov/award/CONT_AWD_140P5425C0009_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5425C0009&index=co,https://sam.gov/search/?keywords=140P5425R0024&index=opp,,
140P5425C0029,CONT_AWD_140P5425C0029_1443_-NONE-_-NONE-,SF GENERAL MAINTENANCE SERVICES LLC,"SERVICE, EMERGENCY CLEANING & SANITATION AT CHRISTIANSTED NATIONAL HISTORIC SITE",24995.00,2025-09-24,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",VI,https://www.usaspending.gov/award/CONT_AWD_140P5425C0029_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5425C0029&index=co,,,
140P5425P0021,CONT_AWD_140P5425P0021_1443_-NONE-_-NONE-,"WASTE CONNECTIONS OF FLORIDA, INC.",SOLID WASTE PICK-UP AND DISPOSAL,21860.70,2025-04-01,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,FL,https://www.usaspending.gov/award/CONT_AWD_140P5425P0021_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5425P0021&index=co,,,
140P5425P0043,CONT_AWD_140P5425P0043_1443_-NONE-_-NONE-,"DEYA ELEVATOR SERVICES, INC.",ELEVATOR MAINTENANCE SERVICE,20000.00,2025-07-17,FREIGHT ELEVATORS,PR,https://www.usaspending.gov/award/CONT_AWD_140P5425P0043_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5425P0043&index=co,,,
140P5425P0045,CONT_AWD_140P5425P0045_1443_-NONE-_-NONE-,"CROWLEY'S CONCRETE, INC.",EMERG REPAIR UNDERMINED HQ-EV PARKING,5168.00,2025-07-02,REPAIR OR ALTERATION OF PARKING FACILITIES,FL,https://www.usaspending.gov/award/CONT_AWD_140P5425P0045_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P5425P0045&index=co,,,
140P6025P0006,CONT_AWD_140P6025P0006_1443_-NONE-_-NONE-,"MERLO PLUMBING COMPANY, INC.","SERVICE, BACKFLOW REPAIR, JEFF",4653.00,2025-03-26,MAINT/REPAIR/REBUILD OF EQUIPMENT- VALVES,MO,https://www.usaspending.gov/award/CONT_AWD_140P6025P0006_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6025P0006&index=co,https://sam.gov/search/?keywords=140P6025Q0018&index=opp,,
140P6026P0001,CONT_AWD_140P6026P0001_1443_-NONE-_-NONE-,"ODESSA PUMPS AND EQUIPMENT, INC",BIBE - BIG BEND NATIONAL PARK - EMERGENCY WATER PUMP REPAIR,67689.00,2026-01-08,MAINT/REPAIR/REBUILD OF EQUIPMENT- PUMPS AND COMPRESSORS,TX,https://www.usaspending.gov/award/CONT_AWD_140P6026P0001_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6026P0001&index=co,https://sam.gov/search/?keywords=140P6026Q0005&index=opp,,
140P6325P0015,CONT_AWD_140P6325P0015_1443_-NONE-_-NONE-,NEHEMIAH CONSTRUCTION LLC,THIS IS AN URGENT AND COMPELLING CONSTRUCTION SERVICES REQUIREMENT TO REPAIR LIFT STATION LOCATED IN INDIANA DUNES NATIONAL PARK.,52316.80,2025-07-24,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",WV,https://www.usaspending.gov/award/CONT_AWD_140P6325P0015_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6325P0015&index=co,,,
140P6326P0006,CONT_AWD_140P6326P0006_1443_-NONE-_-NONE-,"CHAPARRAL CONSTRUCTION, INC.",THRO - URGENT WATERMAIN REPAIRS 2026,18630.00,2026-02-24,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),ND,https://www.usaspending.gov/award/CONT_AWD_140P6326P0006_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6326P0006&index=co,,,
140P6425C0001,CONT_AWD_140P6425C0001_1443_-NONE-_-NONE-,THE VALLEJO COMPANY,COMM CENTER/COONRAD GAS LINE REPAIR,7800.00,2025-03-13,"INSTALLATION OF EQUIPMENT- PIPE, TUBING, HOSE, AND FITTINGS",OH,https://www.usaspending.gov/award/CONT_AWD_140P6425C0001_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6425C0001&index=co,,,
140P6425P0015,CONT_AWD_140P6425P0015_1443_-NONE-_-NONE-,BERRINGTON PUMPS & SYSTEMS INC,"OTHER, LIFT STATION PUMPS",14416.50,2025-03-31,POWER AND HAND PUMPS,OH,https://www.usaspending.gov/award/CONT_AWD_140P6425P0015_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6425P0015&index=co,https://sam.gov/search/?keywords=140P6425Q0025&index=opp,,
140P6425P0018,CONT_AWD_140P6425P0018_1443_-NONE-_-NONE-,MALEK INC,"OTHER, WATER TANK REPAIR (VALVE) @ PAIS",19114.16,2025-04-30,MAINT/REPAIR/REBUILD OF EQUIPMENT- VALVES,TX,https://www.usaspending.gov/award/CONT_AWD_140P6425P0018_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6425P0018&index=co,https://sam.gov/search/?keywords=140P6425Q0031&index=opp,,
140P6425P0024,CONT_AWD_140P6425P0024_1443_-NONE-_-NONE-,"MOBILE ENTERPRISES, INC.","EPREF, WATER TANK REPAIR (GST)",139520.00,2025-06-17,MAINT/REPAIR/REBUILD OF EQUIPMENT- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,TX,https://www.usaspending.gov/award/CONT_AWD_140P6425P0024_1443_-NONE-_-NONE-/,https://sam.gov/search/?keywords=140P6425P0024&index=co,https://sam.gov/search/?keywords=140P6425Q0041&index=opp,,
